fundNo,fundName
SD1645,天津古九鼎股权投资基金合伙企业（有限合伙）
SD1646,苏州天薇钟山九鼎投资中心（有限合伙）
SD1647,苏州观澜九鼎投资管理中心（有限合伙）
SD1648,苏州天葑湛卢九鼎投资中心（有限合伙）
SD1649,苏州天盘湛卢九鼎投资中心（有限合伙）
SD1650,泰祥昆吾（天津）股权投资基金合伙企业（有限合伙）
SD1651,苏州天胥湛卢九鼎投资中心（有限合伙）
SD1652,苏州泰合金鼎九鼎投资中心（有限合伙）
SD1653,嘉兴春秋楚庄九鼎投资中心（有限合伙）
SD1654,苏州夏启宝寿九鼎医药投资中心（有限合伙）
SD1716,天津联地股权投资基金合伙企业（有限合伙）
SD1730,建信金圆（厦门）股权投资合伙企业（有限合伙）
SD2951,华穗食品创业投资企业
SD3412,苏州工业园区嘉鸿九鼎投资中心（有限合伙）
SD4285,苏州和聚九鼎投资中心（有限合伙）
SD4741,南京九鼎栖霞投资中心（有限合伙）
SD6111,武汉硅谷天堂晨曦股权投资基金合伙企业（有限合伙）
SD6115,吉林省国家汽车电子产业创业投资有限责任公司
SD6166,北京盛世神州房地产投资基金（有限合伙）
SD6174,上海君翼博星创业投资中心（有限合伙）
SD6186,苏州和众九鼎投资中心（有限合伙）
SD6196,上海瓯温九鼎股权投资中心（有限合伙）
SD6202,厦门市中奥九鼎投资合伙企业（有限合伙&#41;
SD6205,苏州夏启卓兴九鼎医药投资中心（有限合伙）
SD6207,天津联每股权投资基金合伙企业（有限合伙）
SD6209,苏州工业园区昆吾民乐九鼎投资中心（有限合伙）
SD6218,北京含光九鼎投资中心（有限合伙）
SD6222,苏州瑞豪九鼎投资中心（有限合伙）
﻿SD6244,北京弘毅贰零壹零股权投资中心（有限合伙）
SD6261,苏州天衡钟山九鼎投资中心（有限合伙）
SD6262,苏州天枢钟山九鼎投资中心（有限合伙）
SD6284,九江联豪九鼎投资中心（有限合伙）
SE1142,中国龙平衡资本市场集合资金信托计划
SE1176,外贸信托·源乐晟3期（富锦21号）证券投资集合资金信托计划
SE1178,源乐晟4期证券投资集合资金信托计划
SE1187,源乐晟9期证券投资集合资金信托计划
SE1188,源乐晟10期证券投资集合资金信托计划
SE1189,源乐晟11期证券投资集合资金信托计划
SE1213,中融乐晟股票精选证券投资集合资金信托计划
SE1214,源乐晟2期证券投资集合资金信托计划
SE1229,源乐晟5期证券投资集合资金信托计划
SE1231,北京信托·源乐晟6期证券投资集合资金信托计划
SE1232,08融新64号（源乐晟7期）证券投资集合资金信托合同
SE1233,华润信托·源乐晟8期集合资金信托计划
SE1238,山东信托.彤源2号证券投资集合资金信托计划
SE1244,建信金牛增长集合资金信托计划（2期）
SE1245,中信信托神农五福证券投资集合资金信托计划
SE1247,平安信托金蕴28期（神农春生）集合资金信托计划
