registerCode,name
SR8255,中邮基金汇和银行1号资产管理计划
SR8272,金元顺安南海2号资产管理计划
SR8279,首誉光控定增价值3号资产管理计划
SR8233,兴全-可交换私募债57期分级特定多客户资产管理计划
SR8276,融通-融坤11号资产管理计划
SR8222,华夏穗通太阳1号资产管理计划
SR5238,主题精选之华夏资本-申万新享2号资产管理计划
SR8278,首誉光控-光控宏伟专项资产管理计划
SR8211,九泰基金-中兵广发定增1号资产管理计划
SR8213,易方达资产天盈14号专项资产管理计划
SR8218,慧智稳健-融通资本博道债券多利8号资产管理计划
SR8226,前海开源锐成资产管理计划
SR8241,华商稳安策略2号资产管理计划
SR8247,北信瑞丰基金鑫安稳健1号资产管理计划
SR8216,长城嘉信天祥5号专项资产管理计划
SR8245,易方达资产建安3号专项资产管理计划
SR8217,瑞智精选-融通资本大岩定增资产管理计划
SR8235,兴全-可交换私募债58期分级特定多客户资产管理计划
SR8259,私银专属17001号博时基金资产管理计划
SR8236,财通资产-泛娱1号特定多个客户专项资产管理计划
SR8179,鹏扬基金安泰多策略优粤15号4期资产管理计划
SR8227,华泰保兴基金—建信信托3号资产管理计划
SR8273,诺安资管诺华2号专项资产管理计划
SR8257,建信资本优选中邮交易1号专项资产管理计划
SR8234,兴全-可交换私募债59期分级特定多客户资产管理计划
SR8153,嘉实资本京华十五号专项资产管理计划
﻿SR8267,鹏华资产FOHF1号凝萃稳利四期专项资产管理计划
SR8271,兴业财富-兴金469号单一客户专项资产管理计划
SR8231,红塔资产祺阳3号专项资产管理计划
SR8274,兴业财富-兴金468号单一客户专项资产管理计划
SR8178,鹏扬基金安泰多策略优粤15号3期资产管理计划
SR7995,建信中航定增精选4号资产管理计划
SR8026,华安资产-嘉和源1号资产管理计划
SR8112,东方汇智-光大银行-量道对冲2号资产管理计划
SR8043,建信龙粤挂钩24号特定多个客户资产管理计划
SR8114,大成基金创信2号资产管理计划
SR8061,招商基金-长治漳泽农商1号资产管理计划
SR8122,华泰柏瑞基金-华恒2号资产管理计划
SR8073,嘉实资本龙江稳健2号专项资产管理计划
SR8119,长安润银1号资产管理计划
SR8131,博时资本-天图1号专项资产管理计划
SR8055,首誉光控-福州宝来一号专项资产管理计划
SR8056,首誉光控-湖南万和一号专项资产管理计划
S91100,中欧江夏1号资产管理计划
SR8004,新华基金-万诺资产稳健1号专户资产管理计划
SR8009,前海开源资产溢丰1号专项资产管理计划
SR8123,创金合信-中融鼎新2号资产管理计划
SR8127,兴业财富-兴金463号单一客户专项资产管理计划
SR8115,金鹰穗通定增351号资产管理计划
SR8138,融通资本-招商银行-招乾1号专项资产管理计划
SR8020,华安资产东方资产佳源申城专项资产管理计划
SR8037,浦银安盛资管-浦发银行武汉分行1号专项资产管理计划
SR8117,万家共赢东方鸿润专项资产管理计划
SR8137,融通资本-招商银行-招银1号专项资产管理计划
SR8011,华泰保兴光明1号资产管理计划
SR8090,红塔资产祺阳1号专项资产管理计划
SR8101,嘉实资本管理有限公司-多策略1号资产管理计划
